Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
32;Rosa de Lima;1617;1668;1671;"Isabel Flores de Oliva hija de Gaspar Flores, natural de Puerto Rico y María de Oliva. Nace el 30 de abril de 1586 en Lima, fecha más probable y casi segura. Ya que es la fecha mencionada por el primero de los biógrafos de Rosa, Fray Pedro de Loaiza (su confesor también) y por sus padres como consta en el Proceso Ordinario, interrogatorio que realizaron las autoridades religiosas sobre la vida de Rosa. Existen muchas leyendas alrededor de Rosa de Lima. Cuentan que su primer milagro ocurrió a los tres meses de nacida, cuando una india acudió a acompañar su sueño, el rostro se había convertido en una rosa. . A los doce años se mudó con su familia hacia Quives, un pueblo a 60 kilómetros de Lima ubicado en el Valle Chillón. Allí, el obispo Mogrovejo, futuro santo de la Iglesia, le administró el sacramento de la Confirmación llamándola Rosa.

Regresó a Lima con su familia ya siendo una joven. Debido a problemas económicos de la familia, trabajaba el día entero en el huerto y solía bordar con gran esmero para diferentes familias de la Ciudad y así ayudar al sostenimiento de su hogar.

A pesar de todo, se encontraba conforme con su forma de vida y no hubiera tratado de cambiarla si no hubiera sido por la insistencia de sus padres a casarla. Hizo voto de castidad, y se recluyó prácticamente en la Ermita que ella misma construyó, con ayuda de su hermano Hernando, en un extremo del huerto de su casa. Sólo salía para visitar al Templo de Nuestra Señora del Rosario y atender las necesidades espirituales de negros e indios. Su vida estuvo rodeada de enfermedades y mortificaciones, razón por la cual se le emparentan con una mártir moderna. Perteneció a la Tercera Orden de las dominicas.



Una de las historias que dio origen a una parte de su iconografía y reafirmó su fama es esta: En 1615 los Piratas Holandeses al mando de Jorge Spilbergen deciden tomar la Ciudad de Lima, aproximándose al Puerto del Callao en días previos a la fiesta de La Magdalena. La noticia corre pronto hasta Lima y con ello la proximidad y desembarco en el Callao, lo que altera los ánimos de los ciudadanos, ante esto, Rosa reúne a las mujeres de Lima en la Iglesia de Ntra. Sra. del Rosario para orar ante el Santísimo por la salvación de Lima.

Apenas llegada la noticia falsa del desembarco, la terciaria subió al Altar, y cortándose los vestidos y remangados los hábitos puso su cuerpo para defender a Cristo en el Sagrario. Los ánimos del vecindario eran alarmantes, llegando a huir muchos de Lima hacia lugares distantes.

Misteriosamente el Capitán falleció en su barco, y ello supuso la retirada de los enemigos. En Lima todos atribuyeron el milagro a nuestra Rosa y por ello en sus imágenes se le representa portando a la Ciudad sostenida por el ancla.

En Argentina por el mes de agosto ocurre la ""Tormenta de Santa Rosa"". La tradición atribuye a Rosa el origen de este fenómeno natural que logró la huida de los enemigos de tierras peruanas.";Cardinales;Sufrimiento y fortaleza;Mujica, Millones
33;Catalina de Ricci;1590;1732;1747;"Nacida el 23 de abril de 1522 en una noble familia de Florencia, ingresó al convento de las dominicas en 1535, en la ciudad toscana de Prato. Como suele ocurrir en las vidas ejemplares de monjas, a ésta su padre la propuso para matrimonio, mismo que no aceptó porque había hecho votos de castidad y deseaba comprometerse con Cristo. Bautizada inicialmente como Alejandra, cambió su nombre por Catalina al momento de la profesión. En sus primeros años, dio grandes muestras misticismo de, tanto que estuvo a poco de ser expulsada. Las biografías cuentan de sus terribles enfermedades físicas, que curaba con la meditación en la Pasión de Cristo. También tuvo los dones de la revelación, profecía y milagros. Catalina de Ricci vivió en una época de grandes santos; entre sus contemporáneos estuvieron Carlos Borromeo, Felipe Neri, y Santa María Magdalena de Pazzi. Con los dos últimos nombrados se dice que tuvo comunicación en diferentes formas, nunca un encuentro en forma natural. Fue nombrada maestra de novicias a los 25 años y predijo un atentado contra San Carlos Borromeo. El atentado, aunque fallido, se produjo, pese a la incredulidad de Carlos y desde entonces, el santo mantuvo siempre la imagen de la monja en su celda.

http://www.magnificat.ca/cal/esp/02-13.htm

http://www.corazones.org/santos/catalina_dericci.htm

http://ec.aciprensa.com/c/catalinaricci.htm";Capitales;Humildad;
34;Margarita de Antioquía;siglo III o IV;;;"Esta es una de las tantas santas vírgenes y mártires que la tradición popular medieval ensalzaron como santas. Su vida fue popularizada por Santiago de la Vorágine en el siglo XII. Se trata de una duplicación de dos santas griegas, Pelagia y Marina. Según la hagiografía, nació en Antioquía y era hija de un sacerdote pagano. A través de su nodriza conoció la fe cristiana, bautizándose a los 12 años de edad en contra de la voluntad de su padre. Cuenta la historia que Olibrius, el prefecto romano la requirió y ante su negativa la encarceló. Allí tuvo su encuentro con el demonio en forma de dragón, que según algunas tradiciones se la tragó. El milagro fue salir de él, razón por la cual se convirtió en santa protectora de las parturientas. Posteriormente padece martirios como flagelaciones, se le quema con antorchas, se le sumerge en aceite hirviendo, y como no muere, se le decapita. . La tradición popular la asimiló a la princesa que san Jorge liberó del dragón. De ahí que lleve una corona en la cabeza. Otra versión sostiene que al sobrevivir milagrosamente a los martirios, de las muñecas se cayeron las cadenas y sobre su cabeza empezó a irradiarse una extraordinaria luz, dentro de la que volaba girando una paloma sosteniendo en su pico una corona de oro.

historiarte.net/iconografía/margarita.html";;Mártir;"Vorágine, 376;"
35;Catalina de Siena;1380;;1461;"Nace en Siena hacia 1347, siendo la vigésimo quinta hija de un tintorero que se llamaba Jacopo Benincasa. Su vida tiene todos los elementos tradicionales de las santas monjas medievales y barrocas: Desde su infancia Catalina empezó a tener visiones y a practicar austeridades extremas. A los siete años hace voto de virginidad; su madre quería casarla, a lo que se opone rasurándose la cabeza. Después de tres años de visitas celestiales y una conversación familiar con cristo, experimentó la experiencia mística conocida como las ""bodas místicas"", probablemente durante el carnaval de 1366. Antes de entrar al convento, atendió a los enfermos, especialmente aquellos infectados de peste, a servir a los pobres y trabajar por la conversión de los pecadores. A los 17 años entra en la tercera orden de santo Domingo, a pesar de la oposición familiar. En el convento llevó una vida ascética, que se caracterizó por su frágil salud. Profesaba una devoción particular a santa Inés de Montepulciano, tanto, que según la leyenda, cuando Catalina visitó la tumba de santa Inés, y se inclinaba ante el cuerpo de la santa para besarle el pie, ésta la levantó hasta la altura de sus labios. Según la leyenda, en sus trances recibió la misión de involucrarse en los asuntos mundanos, especialmente en intervenir en asuntos políticos de  su época, principalmente contribuyó a llevar al papa Gregorio XI a Roma, desde Aviñón. En 1375, recibió los estigmas, marcas que no aparecieron exteriormente en su cuerpo mientras vivió, según la tradición. Autora de diversos textos en tocano, sobresale ""Diálogo"" o ""Tratado de la Divina Providencia"". Murió en Roma en 1380 y fue canonizada en 1461. Su cuerpo reposa bajo el altar mayor de la iglesia dominica de Santa María sopra Minerva, cerca de Fra Angélico. Pero su cabeza fue reclamada por Siena, su ciudad natal.";Capitales;Mística;Iconografía del arte cristiano, de Louis Réau.
36;Catalina de Alejandría;307;;;"Se ubica su nacimiento hacia el 290 dentro de una familia noble de Alejandría (Egipto). Los martirologios cuentan que estaba dotada de una gran inteligencia, lo que la puso al nivel de los grandes doctores, poetas y filósofos de su época. Siendo pagana, una noche se le apareció Cristo, lo reconoció y lo aceptó como su esposo bautizándose al poco tiempo. En alguna visista del emperador Maximiliano, ella intentó convertirlo lo que despertó su cólera. Para ponerla a prueba le impuso un debate filosófico con cincuenta sabios a los que trataría de convertir. Catalina lo logró, lo que provocó la ira del Emperador, que hizo ejecutar a los sabios, no sin proponerle antes a Catalina que se casara con uno de ellos, a lo que ella se negó rotundamente. El Emperador ordenó, entonces, que torturaran a Catalina utilizando para ello una máquina que tenía unas ruedas guarnecidas con pinchos. Milagrosamente las ruedas se rompieron al tocar el cuerpo de Catalina. Posteriormente fue decapitada. La leyenda cuenta que su cuerpo fue llevado por ángeles a una cueva en el monte Sinaí, donde fue descubierto por unos monjes.



Ver también: http://ec.aciprensa.com/c/catalinaalejandria.htm";;Mártir;Rivadeneira, 487-489
37;Roque;1379;;1629;"Este es otro santo que se encuentra entre la realidad y la leyenda. El personaje histórico nació en Montpellier hacia 1350. Huérfano a muy temprana edad, decidió repartir la fortuna familiar entre los pobres y los hospitales. Dedicó su vida a hacer peregrinaciones. En 1367 se dirigió a Roma donde estuvo tres años, hasta 1371. Cuenta la historia que al llegar a Acquapendente, en los Apeninos, encontró la ciudad devastada por la peste: asistió y animó a los enfermos a quienes curó. Al regresar de su peregrinación, en Plasencia sintió los primeros síntomas de la enfermedad. Se retiró a un bosque para morir en soledad y no contagiar a nadie. Fue denunciado como espía y lo encarcelaron. La leyenda cuenta que su carcelero lo encontró muerto. En verdad habría muerto en Lombardía, hacia 1379. Esta leyenda parece copiada en parte de la de san Alejo, quien regresó de los Santos Lugares para morir en Roma como mendigo anónimo, bajo la escalera de la casa paterna.

Las biografías de San Roque aparecieron profusamente en el siglo XV, y este es uno de los santos que son más conocidos por la devoción que por la historia de su vida. El culto de san Roque se desarrolló tarde, incluso en Montpellier, cuya universidad en 1410 todavía se encomendaba a san Sebastián para hacer que cesara una epidemia de peste. Hay dos hechos que explican la difusión del culto de san Roque en el siglo XV: la decisión del concilio de Ferrara, que amenazado por una epidemia de peste habría prescrito plegarias públicas para pedir la intercesión del santo de Montpellier, y el traslado de una parte de sus reliquias a Venecia en 1485. A partir de entonces la cofradías de san Roque se multiplicaron en Francia y en Italia.



Ver http://www.historiarte.net/iconografía/roque.html

http://www.santopedia.com/santos/san-roque/";Obras de misericordia;Caridad, cuidado de enfermos. Santo pestes;historiarte.net/iconografía/roque.html
38;Vicente Ferrer;1419;;1455;"Nació en 1350 en Valencia, España. Desde pequeño se caracterizó por la devoción y la relación con los pobres. Además de la mortificación cada viernes. Su padre era notario y estaba bien relacionado con las clases altas. En febrero de 1367 tomó el hábito tras haber ingresado en el Convento de los Predicadores de Valencia, los dominicos. Entre 1368 y 1375 fue enviado por sus superiores a profundizar sus estudios en Lérida, Barcelona y Toulousse. En Lérida dio clases como profesor de Lógica, donde se encontraba en us época el Estudio General de la Corona de Aragón, la Universidad.

Famoso por su preocupación por las postrimerías escatológicas, se convirtió en su principal  tema de predicación. Anunció en numerosas ocasiones la inminente llegada del Anticristo y el fin del mundo, tal como hizo, por ejemplo, en los varios sermones que predicó en la ciudad de Toledo en el año 1411. Esta actitud se entiende en relación a su contexto, pues esta es la época del papado de Avignon y el Cisca de 1414. Era seguido por multitudes que lo acompañaban en sus itinerarios, entre ellas un séquito de flagelantes que se azotaban las espaldas como purga de sus pecados. Solía viajar subido sobre un asno y se alojaba en los conventos de frailes dominicos de las ciudades y pueblos en donde predicaba. Participó activamente en la política de su tiempo, principalmente en los debates de las elecciones de papas, debido al Cisma.

También era famoso por las conversiones que logró entre musulmanes y judíos, y  esto precisamente le dio la fama de gran predicador.



http://es.wikipedia.org/wiki/San_Vicente_Ferrer

http://www.santopedia.com/santos/san-Vicente-Ferrer/";Obras de misericordia;Predicador, don de lenguas;Rivadeneira T.I 568-575
39;Juan Nepomuceno;1393;1721;1729;"Juan Nepomuceno o Juan de Nepomuk (Jan Nepomucký) nació en Praga en 1340. Este santo patrón de Bohemia, estudió en la Universidad de Praga y Derecho canónico en la Universidad de Padua. En 1380 asumió el cargo de párroco en Praga, en 1393 el vicariato general de Juan de Jenstejn, arzobispo de la ciudad a partir de 1378. Como vicario general no disfrutó de una buena reputación entre sus contemporáneos; era rico, poseía casas, y prestaba dinero a nobles y sacerdotes. Fue asesinado en 1393 por orden de Wenceslao de Luxemburgo, rey de Bohemia: se le arrojó desde el puente Carlos al río Moldava.

La versión histórica de la muerte de Juan Nepomuceno cuenta que esta se debió a un problema de intereses políticos entre él y el rey. El motivo fue el nombramiento de un nuevo abad  para la rica y poderosa abadía de Kladruby, importante para el rey en sus luchas con los nobles. Wenceslao apoyaba al papa de Avignon, mientras que el arzobispo apoyaba al de Roma. Además, el movimiento husita había divido a Bohemia: el arzobispo Juan representaba la facción conservadora e incluso reaccionaria a cualquier cambio radical en la sociedad. Juan Nepomuceno confirmó al candidato del arzobispo para el puesto de abad de Kladruby contrariamente a los deseos del monarca, quien lo mandó a asesinar.



Desde el punto de vista católico, Juan Nepomuceno murió por no revelar un secreto de confesión, lo que parece ser más una leyenda pero es la historia oficial. El relato de su “santidad” se construyó en diversas etapas, y su canonización parece responder más a motivos políticos contra la Bohemia del siglo XVIII, una zona protestante.



http://es.wikipedia.org/wiki/Juan_Nepomuceno_(santo)";Cardinales;Mártir;es.wikipedia.org/wiki/Juan_Nepomuceno_(santo)
40;Francisco de Asís, Francisco Javier y Teresa;;;;"Pintura que tiene una narración particular a los temas ordinarios coloniales, pues se trata de una alegoría a la evangelización, que menciona a dos órdenes hermanadas, franciscanos y jesuitas, pero incluye a Teresa de Jesús. Además se encuentra la sagrada Familia y dos protomártires. Es decir, no desarrolla un tema de santos o bíblico que es lo usual, sino un tema eclesiológico.



Francisco de Asís.

Muere en 1226

Canonizado en 1228

Nacido hacia 1182, hijo de un rico comerciante, pasó una parte de su vida con comodidades. Al momento de su conversión, pasó a vivir bajo la más estricta pobreza y observancia del evangelio. Su vida religiosa fue austera y simple, por lo que animaba a sus seguidores a hacerlo de igual manera. En su momento, tuvo problemas parta que esta forma de espiritualidad fuera aceptada por la Iglesia porque se le relacionaba con actitudes similares de conocida herejías de la época como los cátaros y los albigenses. Pero también, tal forma de vivir no fue aceptada por algunos de los nuevos miembros de la orden mientras ésta crecía; aun así, Francisco no fue reticente a una reorganización. Los seguidores de Francisco se extendieron rápidamente por Europa, tanto que también tuvo su contraparte femenina, las clarisas, fundadas por Clara de Asís, bajo la tutela espiritual de Francisco. En 1219 organizó un viaje a Oriente, donde trató de cristianizar hasta al Sultán de Egipto. Fue una de las primeras ordenes en recorrer el mundo y una de las primeras en llegar a América recién descubierta, todo en función de la evangelización. Es el primer caso conocido de haber recibido las estigmatizaciones.



Francisco Javier

Muere en 1552

Canonizado en 1622



Francisco de Jaso y Azpilicueta, más conocido como Francisco Javier, nacido en 1506, fue un religioso y misionero navarro de la Compañía de Jesús, del que fue miembro fundador y uno de los más estrechos colaboradores de su fundador Ignacio de Loyola.

Nacido en el seno de familia noble, participo en eventos políticos de su época, especialmente en la pérdida de la autonomía del reino de Navarra. Hizo estudios en París donde conoció a Ignacio de Loyola, y en donde en 1534 llevarían acabo la fundación de la Compañía , bajo la promesa de viajar a Tierra santa, viaje que no se logra concretar. Bajo bandera portuguesa, en 1540 emprende el camino de las misiones, en dónde se destacó por su labor en el oriente asiático y en el Japón. Su base fue el asentamiento portugués de Goa. Recibió el sobre nombre de Apóstol de las Indias.

Francisco de Javier se convirtió a partir del siglo XVI en un ideal a seguir como misionero en tierra pagana. Esto ha dado lugar a una muy abundante obra que trata de su figura. Obra de todo tipo, especialmente epistolar, al considerarlo como ejemplo a seguir por los miembros de la Compañía de Jesús. Fue Javier quien creó el primer seminario de Goa y quien impulsó las vocaciones al sacerdocio de los indígenas, a la vez que proponía la catequización directa y la traducción de los textos litúrgicos a las lenguas locales. Murió en la isla de Sanchón (China).";;;
41;Coronación de la Virgen;;;;Tema originado en el arte gótico del siglo XIII. Constituye el colofón final del ciclo narrativo de la vida de la virgen, a continuación de su muerte o Asunción. También constituye una figura piadosa, no narrativa  de la personificación de la Iglesia. Hay diversas formas de coronación, pero en las representaciones de la Coronación por la Trinidad, frecuentemenete es Cristo quien impone la corona. Como reina del cielo, suele estar ricamente vestida. En el arte de la contrarreforma, la virgen se reemplazaba por el de la Inmaculada Concepción, que es este el caso.;;;"Hall, 109; Cuadriello, 113"
42;Virgen Orante;;;;"El tema de la virgen orante es parte de la tradición de la Iglesia. El tema se relaciona indirectamente con algunas escenas de los evangelios, principalmente en aquellos donde abre su espíritu en expresiones de glorificación a Dios, de humildad, de fe, de esperanza: tal es el ""Magnificat""(cf. Lc 1, 46-55), la oración por excelencia de María, el canto de los tiempos mesiánicos. También con su actitud en las bodas de Caná, donde le pide a Jesús que haga el milagro. También en la reunión con los Apóstoles (Hechos 1.14): ""perseveraban unánimes en la oración, juntamente con las mujeres y con María, Madre de Jesús, y con sus hermanos"".

También se le llama Virgen de la Contemplación y está relacionado con la actitud de la Virgen en el momento que nace. El está en el pesebre y la virgen lo contempla y ora.";;;"www.mariologia.org/; Hall, 383"
43;Virgen de Chiquinquirá;;;;En 1560, Antonio de Santana obtuvo la encomienda de Sutamarchan. El, junto al dominico Fray Andrés Jadraque encargaron al pintor Alonso de Narváez una imagen de Nuestra Señora del Rosario. Cuenta la leyenda, que como la tela era más ancha que larga, para llenar los espacios, decidieron colocar a los lados los Santos de la devoción del encomendero Santana y Jadraque: San Antonio de Padua y San Andrés Apóstol. En 1562, fue colocado el cuadro en la capilla de Suta, que había sido construida por Antonio de Santana en su Hacienda. La tela se deterioró y Santana mandó la imagen a la aldea de Chiquinquirá en 1578, para que la colocaran en un oratorio que tenía en su casa. Su cuñada, María Ramos, encontró tirada la imagen, la recogió y lo compuso, junto con una criada, y lo pusieron en alto sobre un altar. La leyenda cuenta que ante las oraciones de esta mujer para poder ver en ella algo de sus líneas, el día 26 de diciembre de 1586, la imagen se renovó desprendiendo una intensa luz, hecho que también fue presenciado por la india Isabel, y un niño llamado Miguel. La noticia del prodigio corrió inmediatamente por todos los lugares circunvecinos, cuyos moradores presurosos corrieron a ver la imagen renovada.;;;Tobar.
44;Inmaculada;;;;El tema se refiere a la concepción de la Virgen en el vientre de su madre Ana. El tema no tiene sustento Bíblico sino dogmático, y sostiene que la virgen estaba predestinada desde los comienzos de los tiempos a ser receptáculo de Cristo, por lo tanto, debía estar libre de Pecado. El debate ganó terreno en la Edad Media, especialmente en los siglos XII y XIII, a lo que se opusieron los dominicos, y tuvo el apoyo de los Franciscanos. Ganó adeptos, España se puso bajo su protección en el siglo XVII y fue sancionado como dogma en 1854. Se pintó de diversas maneras pero ganó terreno a partir del siglo XVI.;;;Hall 380
45;Asunción de la Virgen;;;;"La Asunción  se opone a la Ascensión, como lo pasivo a lo activo. Es decir, la Virgen no asciende al cielo por sus propios medios, como Cristo, sino que es elevada al Paraíso  en cuerpo y alma por los ángeles. Este tema fue tradición de la Iglesia, pero sólo se convirtió en dogma hasta 1950. Se supone que ocurrió al tercer día después de su muerte: los apóstoles estaban reunidos, cuando se apareció Cristo con san Miguel para llevarla. El arte bizantino representa la Asunción del alma de la Virgen, recogida por Cristo en su lecho de muerte; y el arte de Occidente, su Asunción corporal fuera de la tumba donde los apóstoles la habían sepultado. Por lo tanto, debe distinguirse en iconografía la Asunción del alma de la Virgen en forma de niña y la Asunción de su cuerpo glorioso. A causa de una confusión iconográfica, la Asunción pierde su carácter original para convertirse en Ascensión. En vez de ser elevada al cielo por ángeles, la Virgen vuela sola, con los brazos extendidos; los ángeles que la rodean se limitan a formarle cortejo. Esta transformación se consumó en el arte italiano del siglo XVI, aunque esta nueva fórmula no eliminó la antigua, de la que encontramos ejemplos en el siglo XVII.

Ver también: http://historiarte.net/iconografía/asuncion.html";;;"Hall 60-61;"
46;Adoración de los pastores;;;;El tema es tratado en el Evangelio de Lucas (2:8-ss). Al nacer el Niño, los pastores son anunciados de su nacimiento por un ángel, tradicionalmente San Gabriel. El tema no se desarrolló sino hasta el siglo XV, en el que aparecen varios pastores reverenciando al recién nacido y ofreciéndole regalos 'rústicos', en este caso un huevo. Estos regalos no aparecen mencionados en el evangelio, posiblemente se hizo por imitación con la visita de los reyes.;;;Hall 31
47;José y el Niño;;;;"Según la tradición bíblica, especialmente san mateo, José desciende del tronco de David. Es una figura ausente en la tradición, y sus datos son escasos. Cuenta el Evangelio que era carpintero en Nazaret, y le fue anunciado el desposorio con María para ser padre putativo a través de un sueño (Mateo 1:20). Vuelve a aparecer en la Huida a Egipto y en la adoración de los Pastores. Lucas da algunos datos: nacimiento, circuncisión y en la desaparición de Jesús a los doce años. Su culto apareció en el siglo VI, pero solo hasta el XVI, por iniciativa de Teresa de Jesús y los jesuitas, se expandió su culto.

Las imágenes devocionales de José con el niño tuvieron auge a partir del siglo XVI, y especialmente tuvieron fuerza en el proceso de conquista de América, al considerársele ""padre putativo' de la conquista espiritual. A partir de 1679, contó con el favor real al considerársele figura tutelar de las misiones. Este tipo de imágenes donde José alza al niño tienen una característica especial para la época: el rejuvenecimiento de José, que contrasta con la representación renacentista del viejo.";;;Duchet: 199: Fajardo 107
48;Crucifixión de Cristo;;;;"Como momento culminante de la vida de Jesús, es relatado por los cuatro evangelistas: Mateo 27: 32-56, Marcos  15: 21-41; Lucas 23, 26-49; Juan 19: 16-37. En todos ellos hay diferencias en la versión, Mateo por ejemplo cuenta cómo Simon Cireneo le ayuda a cargar la cruz, lo mismo, varían las versiones de quien acompaña a Jesús en su agonía: Juan, María, María Magdalena, mujeres del pueblo, etc. Existen diversos momentos en la crucifixión que pueden ser representados: el Jesús agonizante, el que ha fallecido, la lanzada, el momento en que le dan vinagre, con los dos ladrones, o esta, alegórica, con dos ángeles recogiendo su sangre aludiendo a la Eucaristía. Las representaciones más antiguas de la crucifixión son del siglo V, y ha tenido una evolución compleja en cuanto a su iconografía. Esta ha dependido de ideas teológicas y hasta el lugar de origen. El barroco incentivó imágenes en claroscuro, para proporcionar mayor dramatismo a la escena.";;;Duchet, 106
49;Niño de la Espina;;;;Monacato cirstenciense del siglo XII fue el encargado de crear la devoción a los distintos pasajes de la vida de la infancia de Jesús. Devoción que fue incrementada por los franciscanos en los siglos siguientes. Sin embargo sólo fue con los místicos de los siglos XVI y XVII cuando la piedad se difundió, apareciendo relacionado con distintos santos, a quienes se les aparece y dialoga. En América colonial y España, se desarrolla el tema profusamente, en las más variadas situaciones y condiciones. Esta iconografía pretende resaltar el carácter pasionario de la vida de Jesús desde su infancia, más que el estado de gracia de su infancia. Según santo Tomás, el primer pensamiento de Jesús, en el momento de su concepción, fue para la cruz. Para el efecto de su representación, se utilizó material procedente de la tradición apócrifa, que mostraba al niño aprendiendo el oficio de carpintero, donde conoció la cruz. El niño de la espina es un tradicional tema de devoción popular, empleado para la meditación de los efectos de la pasión. El modelo europeo más explorado y empleado es el de Jerónimo Wierix, quien exploró innumerables escenas al respecto. Además el niño de la espina explora los temas barrocos del presentimiento y el destino, de manera que el niño de la espina prefigura a Ecce Homo. En España el tema fue representado por Zurbarán. En Nueva España, el tema parece aparecer a finales del siglo XVII. Mientras que en la Nueva Granada está activo en la segunda mitad del XVII.;;;Catalogo T. 1
50;Sagrado Corazón;;;;El culto al Sagrado Corazón de Jesús es tardío. Desde la tradición del Antiguo Testamento, ya había una simbolización del corazón como amor carnal o místico, igual en la tradición griega. En la Edad Media, algunos místicos como san Bernardo, ya lo incluían como objeto de adoración, Su origen se encuentra en el culto a las cinco llagas, en la cual, la del costado tuvo gran importancia, de modo que se trasladó la herida de la derecha a la izquierda para acercarla al corazón. Sólo hasta el siglo XVI apareció en la cultura popular el corazón de Jesús atravesado por tres clavos y engastado en una corona de espinas, lo que generó el culto del Corazón de Jesús. Algunos santos, como Margarita María de Alacocque, tuvieron visiones al respecto, culto que extendieron los jesuitas. Pero quien inició el culto al Sagrado Corazón de Jesús fue Juan Eudes, fundador de los eudistas. La devoción se consagró oficialmente en 1685, mediante la cual el catolicismo romano quería afirmar el encuentro con protestantismo y del jansenismo, el amor de Dios hacia todos los hombres, sin excepciones. Pero sólo hasta el siglo XVIII, y especialmente durante el XIX, el tema se desarrolló con fuerza, especialmente después de que la reina de Portugal, mandó pintar la primera imagen del Sagrado Corazón en 1780.;;;http://historiarte.net/iconografía/corazon.html
51;Virgen y el niño;;;;La representación de la Virgen con el niño ha sido muy prolífica: desde los temas, hasta las posturas y los objetos que los rodean. Esta imagen cabe dentro de lo que se ha denominado la 'virgen maternal', la cual entró a occidente por el arte bizantino. En un comienzo se trataba de una representación de la virgen, muy hierática con el niño alzado bendiciendo de frente. En el arte gótico lentamente el niño fue dando la vuelta hasta encontrarse más de cerca de su madre. La forma más característica, esta, la 'mater amabilis' presenta a la virgen de medio cuerpo, vistiendo vestido rojo y manto azul, llevando al niño en muy diversas posturas, muchas de ellas llaman la atención por la ternura.;;;Hall 383.
52;Cristo atormentado;;;;"La pintura está inspirada en un libro místico del siglo XVII, de gran proliferación en esta época y el siglo XVIII, “La mística ciudad de Dios” de  María Coronel y Arana, más conocida como Sor María de Jesús de Agreda. Nacida en Agreda en 1602, profesó como monja concepcionista, expirando en 1665. Tuvo fama de santa por sus penitencias y mortificaciones corporales, aunque no por esto dejó de tener problemas con la inquisición, especialmente por el libro en cuestión, el cual fue retenido por algún tiempo, pero finalmente tuvo muchas publicaciones. Tal era su fama que el rey Felipe IV fue a conocerla, la visitó varias veces, lo que generó una larga correspondencia con él, de quien se convirtió en consejera en asuntos estatales. Se dice que tuvo el don de la bilocación, señalada como predicadora y evangelizadora en Nueva España, particularmente entre los indios xumanas de la Baja California, pese a que nunca abandonó su convento. Llegó a ser venerable, pero su proceso de santidad no prosperó.

La Mística Ciudad de Dios, fue un libro muy popular y según la Venerable dictado por la Virgen María. Fue escrito dos veces, la primera versión fue quemada por la propia autora a causa de la imposición de un religioso anciano que era decididamente contrario a que las mujeres escribieran sobre temas teológicos, y la segunda versión fue publicada tras su muerte.";;;Soria-goig.com/Biblioteca/libros/lib_025b.htm
53;Elías;;;;"Su nombre significa “Jehová es mi Dios”. Es considerado el profeta más grande de Israel. Vive en la primera mitad del siglo IX bajo el reinado de Acab.

Se cree que nación en Tisbe, en las montañas de Galaad, cerca del rìo Jacob, hoy llamado Zerka.

Su actividad comienza cuando enfrenta a Acab, rey de Israel, para pronosticar una sequía de tres años en el país. Por indicación divina, debió esconderse junto al arroyo de Querit, vecino al Jordán y luego en la casa de una viuda en Sarepta, en tierras fenicias. En ambos lugares fue alimentado milagrosamente: primero por cuervos y segundo mediante una milagrosa provisión de harina y aceite.  En su segundo encuentro con Acab, concertado por medio de Abdías su mayordomo, Elías propuso la gran concentración de los 450 profetas de los falsos dioses Baal y 450 de Asera, para demostrar delante de todo el pueblo quién era el verdadero Dios. Dios honró a Elías y contestó su oración enviando fuego del cielo.

 La reina Jezabel trama la muerte del profeta quien huye al desierto. Un ángel alimenta al profeta y le fortalece. Juntamente con Moisés el legislador de Israel, Elías figuró al lado de Cristo en la transfiguración. Está presente en casi todos los libros de la Biblia. Se presenta como restaurador de la Alianza de Dios con su pueblo.



Libros de estudio del INSTE

Diccionario bíblico Ilustrado de Vila Santamaría- Editorial CLIE





Este nombre se le atribuye a tres patriarcas de Jerusalén. El primero ocupó el título desde 494 a 495, depuesto por un decreto del Concilio de Sidón, muere  en 518. El segundo poseyó el patriarcado desde 760 hasta en 797, año en que murió. El tercero ocupó la silla desde 881 hasta 907, fecha en que murió.





www.ebiografias.com/39508/elias.htm,";;;www.adorador.com/hombresdelabiblia/elias.htm•top
54;Bárbara;VI;;;"Durante el reinado de Maximiano en la ciudad de Nicomedia (actualmente Izmit, Turquía) había un hombre muy rico llamado Dióscoro, quien era pagano, supersticioso y adoraba a muchos dioses. Tenía una hija muy hermosa llamada Bárbara, a la cual celaba contantemente. Hizo construir para ella una torre muy alta y allí encerró a su hija hasta que decidió entregarla en matrimonio. Su hija optó por la decisión de no casarse y  su padre decepcionado, la dejó para vivir en otro lado. Mientras tanto, Bárbara hizo colocar una cruz en su baño y abrir una tercera ventana en la torre, simbolizando a la trinidad.

Es considerada como la patrona de los albañiles.";;;Revisar biografia
55;;;;;;;;
