author;activity;bio
Gustavus Hesselius;1712-1750;(1682-1755) Retratista colonial quien realizó sus obras la costa Atlántica de Norte América durante la primera mitad del siglo XVIII. Nace en Falun, Suecia y en 1712 se muda a Philadelphia en donde vivirá la mayor parte de su vida y será el lugar de producción de sus obras. Es reconocido por sus retratos, con influencias de estilo barroco, que capturan la personalidad del modelo más allá de sus características físicas. Retratos que a su vez reproducen la realidad histórica de Philadelphia. En 1750 suspende sus trabajos pictóricos. FUENTE: http://www.oxfordreference.com/view/10.1093/oi/authority.20110803095933846
Gutiérrez;;S.D.
Hahiyú de Itapuá;;S.D.
Hendrich de Clerk;1584-1630;(1570-1630) Pintor flamenco activo en Roma y Bruselas a principios del siglo XVII. Se desconoce de su nacimiento pero en 1584 trabajaba en Roma. En 1594 se instaló en Bruselas para formar parte de la corte del archiduque Ernesto de Austria y luego con el archiduque Alberto VII. Sus obras se ubican dentro del estilo del último manierismo  algunas de ellas se encuentran en el Museo del Prado y en el museo del monasterio de Santa Clara. FUENTE: http://es.wikipedia.org/wiki/Hendrick_de_Clerck
Henrietta De Beaulieu Dering Johnston;1708-1729;(1674-1729) Primera pintora profesional en América a comienzos del siglo XVIII. De origen europeo, posiblemente del Norte de Francia, vive en Londres e Irlanda y en 1708 se muda a Charles Town en Norteamérica. Ahí inicia sus producciones artísticas y tiene una participación activa en los aportes a las finanzas familiares a pesar de lo inusual que esto significaba para una mujer en la América colonial. Actualmente se conservan más de 40 pasteles sobre papel, la mayoría retratos de familiares y amigos, de la autoría de Henrietta. Una gran parte de sus obras se encuentra en el Gibbes Museum. FUENTE: http://www.gibbesmuseum.org/explore/johnston_interactive/normal/
Henri-Joseph Johns;1800-1843;(1761-1843) Autor de retratos como el de James Smithson (1816)
Henrique Jose da Silva;1819-1834;(1772-1834) Pintor portugués y el primero director de la Academia Imperial de Bellas Artes de Brasil. Nace en Lisboa y a los 47 años viaja a Brasil para dirigir la Academia Imperial de Bellas Artes, cargo que ocupó desde 1819 hasta 1834, año de su muerte en Rio de Janeiro. FUENTE: http://www.pitoresco.com/laudelino/henri-silva.htm
Henry Benbridge;1758-1800;(1743-1812) Pintor norteamericano cuya carrera se desarrolla entre la era Colonial y la Revolución. Nace en Philadelphia y desde que tenía 15 años inicia sus clases de pintura. En 1764 viaja a estudiar a Italia y luego a Londres en donde su carrera cobra importancia luego de la realización del retrato del general corso, Pascal Paoli. En 1770 vuelve a Estados Unidos en donde realiza sus retratos más conocidos. En 1801 le da clases a Thomas Sully, pintando su retrato. Pocos datos se conocen sobre su vida y producciones posteriores excepto que fue enterrado en 1812. FUENTE: http://www.jstor.org/discover/10.2307/1593897?uid=387722681&uid=3737808&uid=2134&uid=2&uid=70&uid=3&uid=387722671&uid=60&sid=21106365228611
Henry Brintnell Bounetheau;1820-1860;(1797-1877) Pintor norteamericano de mediados del siglo XIX. Poco se conoce sobre su vida excepto que nace y muere en Charleston, Carolina del Sur. Sin embargo, varios retratos le son atribuidos como el de William Quincy, ubicado en Charlton Hall Galleries y aquellos de George Washington (1845) y Henry Gourdin (1840) que se encuentran en el Museo de Arte Americano Smithsonian. FUENTE: Smithsonian American Art Museum.
Henry Grey;;S.D.
Henry Inman;1820-1846;(1801-1846) Retratista norteamericano y una de las figuras más sobresalientes del arte en la vida neoyorquina a principios del siglo XIX. Nace y muere en Nueva York en donde realiza una conocida y exitosa carrera y en donde se convierte en el primer vicepresidente de la ‘National Academy of Design’. Es principalmente conocido por sus retratos pero descrito por su versatilidad a través de sus miniaturas, paisajes y desarrollo de las litografías en América. Asimismo, en 1855 fue precursor de la escuela realista en América y fue el primer americano en desarrollar con éxito pinturas de género que representaban el realismo de la vida cotidiana. El año de su muerte tenía un encargo de pinturas históricas para el Capitolio en Washington. FUENTE: Jstor, The American Art Journal. http://www.jstor.org.ezproxy.uniandes.edu.co:8080/stable/1594053?seq=2&Search=yes&resultItemClick=true&searchText=henry&searchText=inman&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dhenry%2Binman%26amp%3Bacc%3Don%26amp%3Bwc%3Don%26amp%3Bfc%3Doff%26amp%3Bgroup%3Dnone#page_scan_tab_contents
Henry Jacob Burch, Jr.;1800-1834;(1763-1834) Pintor británico conocido por sus retratos miniaturas. Pocos son los datos que se conocen excepto que era hijo de Edward Burch, grabador de gemas y numismático. FUENTE: Smithsonian American Art Museum
Henry Sargent;1820-1845;(1770-1845) Pintor y militar norteamericano. Nace en Gloucester, Massachusetts, e inicia sus estudios en la Academia Dummer y luego en Boston con profesores locales. En 1793, decidido a volverse artista, viaja a Londres en donde estudia con el pintor Benjamin West. Decepcionado de la apatía existente frente a las artes vuelve a Boston en donde se une a la infantería en 1799 en la cual llega hasta el cargo de coronel en 1815. Alrededor de 1820, por problemas de audición, se dedica a la pintura, área en la cual es elegido miembro honorífico de la ‘National Academy of Design’ en 1840 y presidente de la asociación de artistas de Boston en 1845, año de su muerte. FUENTE: http://en.wikipedia.org/wiki/Henry_Sargent
Henry Williams;;S.D.
Hermana Juana Beatriz de la Fuente;;S.D.
Hermanos Cabrera;;S.D.
Hernando de la Cruz;1620-1646;(1592-1646) Pintor y Jesuita panameño que vivió en Ecuador en el siglo XVII. Poco se conoce de su nacimiento excepto era hijo de dos hidalgos sevillanos. A los treinta años ingresó a la Compañía de Jesús en donde desarrolló su vocación artística. Entre sus obras más conocidas están ‘El infierno’ y ‘El juicio Final’, ambas de gran formato, datadas en 1620 y ubicadas a la entrada del templo actual de la Compañía en Ecuador. En éstas se evidencian los tormentos de las almas de los pecadores como parte de una finalidad moralizante y de enseñanza, a través de una técnica lineal y pobre, dentro de un contexto de tenebrismo colonial, resultado de la Contrarreforma. Asimismo, otra de sus importantes facetas es la del religioso místico al dedicar todos los actos de su vida a promover el culto a Dios, a la Virgen, a sus santos y a mostrar el desengaño de su espíritu.
Hernando de Lara;;
Hipólito de Rioja;s. XVII;Pintor mexicano del siglo XVII, autor de “El Martirio de Santa Catalina de Alejandría”
Hugh Bridport;1816-1848;"(1794-1869) Pintor inglés instalado en Philadelphia y reconocido por sus retratos y miniaturas. Nace en Londres en donde estudia en la ‘Royal Academy’ y con el miniaturista Charles Wilkin. En 1816 viaja a Philadelphia con su hermano con el cual establece una academia de dibujo en esa fecha y en 1818 funda una academia de dibujo arquitectónico. Sin embargo, no se conoce con certeza si Bridport practicó la arquitectura. Como miniaturista expuso en diversas ocasiones en la Academia de Finas Artes de Pensilvania y fue profesor de dibujo hasta 1833. Alrededor de 1848 dejó de realizar miniaturas.

http://www.philadelphiabuildings.org/pab/app/ar_display.cfm/23894"
Ignacio Berbeno;s. XVIII;S.D.
Ignacio Chacón;1760-1775;Pintor de la Escuela Cusqueña activo en el siglo XVIII y discípulo del maestro Marcos Zapata. Pocos son los datos que se saben sobre su vida, sin embargo,  es conocido por realizar obras de santos como los cuadros de la vida de San Pedro Nolasco en 1763 y los de la vida de San Francisco, ubicado en el Convento de Ocopa y realizado en Cuzco en la misma fecha. En 1775, junto con Cipriano Gutiérrez, fabricó un Arco del Corpus Christi. FUENTE: http://germaniaa.blogspot.com/2010/03/historia-de-la-pintura-peruan.html
Ignacio de Ayala;;S.D.
Ignacio de Castro;S. XVIII;Trabajó en la ciudad de México en el siglo XVIII y es conocido como el autor de uno de los cuadros de la serie de los ‘Cuadros de Castas’ de la Nueva España, expuestos en Madrid en 1881. FUENTE: http://www.lrc.salemstate.edu/hispanics/other/los_cuadros_de_castas_de_la_nueva_espana_castro.pdf
Ignacio de Ríos;;S.D.
Ignacio María Barreda;1791-1795;(1750-1800) Pintor mexicano de finales del siglo XVIII conocido por sus retratos. Nace y muere en México y en allí donde realiza sus obras. Entre las más conocidas está el retrato de Doña Juana María Romero, en 1794, y el cuadro para el Seminario de México en el cual el Arzobispo Núñez de Haro premia a los alumnos del instituto. Asimismo, desde 1791 trabajaba para el Tribunal de Inquisición realizando imágenes religiosas. FUENTE: Catalogo de Artistas Coloniales de América.
Ignacio Ortega;;S.D.
Isabel de Santiago;    1690-1714;(1660-1714) Pintora quiteña del siglo XVIII cuyas obras se caracterizan por la luminosidad, la belleza floral y la presencia de pequeños animales. Nace en Quito, hija de Miguel de Santiago, considerado el mejor pintor del siglo XVII en Ecuador, pero toma los apellidos de la madre y la registran como Isabel de Cisneros y Alvarado. Sin embargo, en el medio artístico fue conocida como Isabel de Santiago dado que siguió los pasos de su padre y heredó su taller, en el que trabajó con su marido. Aunque como mujer no pudo convertirse en pintora profesional, sí fue respetada como artista, contó con numerosos encargos y ventas y concluyó las obras de su marido, el capitán Antonio Egas y Venegas de Córdoba. Los óleos sobre la infancia de la Virgen María y del niño Jesús se convirtieron en su especialidad tras las muertes de su padre y esposo. Continuó pintando hasta su muerte en 1714 en Quito. FUENTE: http://mujerespintoras.blogspot.com/2013/02/isabel-de-santiago-1660-1714.html
Isauro Cervantes;;S.D.
Isidoro de Moncada;;S.D.
Isidoro Francisco de Moncada;1630-1660;Pintor cusqueño activo en el segundo tercio del siglo XVII y considerado como una de las grandes figuras de esta escuela. Entre sus obras más conocidas están las escenas de la vida de Cristo y de la Virgen las cuales están ubicadas en el altiplano peruano cerca al lago Titicaca. FUENTE: http://cgeu.no-ip.org/2012_a/leecolima.no-ip.org/2012/leediccionario.
Isidro Escamilla;;S.D.
J. H.;1822;Lo único que se conoce sobre este artista son sus iniciales que se encuentran en una obra ubicada en la National Gallery. Obra que representa a Abraham Clarck y a su hijo en un escenario de luto.
J. Wiess;;S.D.
J.B Cáceres;;S.D.
J.M Habiyu;1618;Pintor guaraní itapuense activo a mediados del siglo XVII. Conocido por el retrato de la Virgen María realizado en colaboración con un religioso de la Compañía de Jesús, posiblemente el flamenco Luis Berger. FUENTE: http://artesencruce.filo.uba.ar/sites/artesencruce.filo.uba.ar/files/SesionesPlenarias-Sustersic.pdf
Jacinto Carvajal;;S.D.
Jacob Eichholtz;1805-1842;(1776-1842) Pintor norteamericano activo a principios del siglo XIX. Nace en Lancaster, Pennsylvania en donde desarrolla la mayoría de sus obras. Paralelo a su formación como pintor trabaja con cobre y hojalata hasta 1815, año en que decide dedicarse completamente a la pintura. Desde 1805 comienza a realizar retratos de perfiles y en 1810 se aleja de este formato para dedicarse a mejorar su técnica y a realizar retratos completos. La mayoría de sus producciones, a las que se dedica entre 1810 y 1842, son retratos, los cuales reflejan un estilo más maduro frente a los perfiles, más ricos en color y una cercanía pictórica con Sully, con quien trabajó. Asimismo, hizo parte de la sociedad de artistas en la Academia de Bellas Artes de Pennsylvania desde 1811 hasta la fecha de su muerte en 1842.
Jacob Frymire;1790-1814;(1765-1822) Retratista norteamericano de quien poco se conoce pero cuyas obras datan de 1790 a 1814. Entre sus obras se encuentran los retratos de John Mathias y su esposa Sarah y varios de personajes anónimos
Jacob Maentel;1807-1840;(1763-1863) Pintor alemán radicado en Estados Unidos a principios del siglo XIX. Nace en Kasser, Alemania y trabaja como agricultor y en la armada Napoleónica. Desde 1797 pintaba en Baltimore pero su primer retrato data de 1807. Entre 1800 y 1840 se radica en Pennsylvania, Estados Unidos en donde desarrolla su carrera artística reconocida por sus retratos, figuras e interiores. Muere en New Harmony, Indiana. FUENTE: http://www.askart.com/artist_bio/Jacob_Maentel/21156/Jacob_Maentel.aspx
Jacobo o Lorenzo Fiorini;1820-1856;(1800-1856) Intelectual y artista italiano reconocido por sus retratos a principios del siglo XX. Nace en Italia y a finales de la década de 1820 migra a Argentina. Posiblemente contaba ya con una fuerte formación artística a su arribo al Rio de la Plata pero pocos datos se conocen de eso. En Argentina se posiciona como uno de los mejores retratistas al óleo en cuyas obras resalta el carácter del retrato sin realizar un embellecimiento del modelo. Sus cuadros representaban personajes intelectuales, cantantes y artistas afines a su mundo. FUENTE: http://www.mnba.gob.ar/coleccion/obra/6416
Jacopo Bertuccio;1502-1579;(1502-1579) Pintor italiano conocido como Jacopo Bertucci de quien poco se conoce. FUENTE: http://www.askart.com/artist/Jacopo_Bertucci/11088735/Jacopo_Bertucci.aspx
James Alexander Simpson;1830-1865;(1805-1880) Pintor y retratista  norteamericano activo en el siglo XIX. Nace en Georgetown y entre 1830 y 1865 se dedicó como profesor de dibujo y pintura en la escuela de Georgetown. Asimismo en 1853 expuso en el Instituto de Mecánica Metropolitano de Washington. En 1865 se muda a Baltimore en donde muere. FUENTE: http://americanart.si.edu/collections/search/artist/?id=4463
James Earl;1787-1796;(1761-1796) Pintor norteamericano conocido por sus retratos miniaturas de niños. Nace en Massachusetts y en 1787, luego de la revolución americana, viaja a Inglaterra. En Londres estudia con Benjamin West y expone en la ‘Royal Academy’. Vuelve a Estados Unidos, pero a los 35 años muere de fiebre amarilla en este país. FUENTE: http://www.askart.com/artist/James_Earl/16659/James_Earl.aspx
James Frothingham;1806-1846;(1786-1864) Pintor y retratista norteamericano activo a principios del siglo XIX. Nace en Charlestown y su formación artística fue autodidacta, aunque contó con algunas instrucciones del artista Fabius Whiting. En sus inicios realizó retratos de familiares pero a los 20 años se dedicó tiempo completo al trabajo de retratista. Estas obras estuvieron influenciadas por el estilo de Gilbert Stuart, con quien mantuvo contactos, alentó y criticó su trabajo. En 1836 se muda e Nueva York y comienza a exponer en el Ateneum de Boston y en la Academia Nacional de Diseño. A los 60 años cesa su producción artística y en 1864 muere en Brooklyn. FUENTE: http://www.nga.gov/content/ngaweb/Collection/artist-info.1324.html?artobj_artistId=1324&pageNumber=1
James M. Pearce;;S.D.
James McArdell;1740-1765;(1729-1765) Artista irlandés reconocido por sus grabados a media tinta. Nace en Dublin en donde aprende la técnica del grabado con John Brooks. En 1746 se muda a Londres junto con su maestro y establece una tienda de grabados en esta ciudad. La mayoría de estos son retratos de personajes contemporáneos de la sociedad londinense. Muere en 1765 en Londres. FUENTE: http://en.wikipedia.org/wiki/James_MacArdell
James Peale;1769-1831;(1749-1831) Pintor norteamericano de principios del siglo XIX, reconocido miniaturista, fundador de este estilo tradicional estadounidense y pionero del paisajismo en este lugar. Poco se conoce de su vida y obra dado que fue opacada por su famoso hermano Charles Willson Peale. Nace en Chestertown y se dedica a la talabartería, sin embargo, en 1769, cuando su hermano llega de Londres con su formación artística completa, James se vuelve su asistente y pupilo. En sus primeras obras copia el estilo de su hermano pero luego desarrolla una técnica más colorida y fluida. A mediados de 1780 se establece como pintor de retratos miniaturas y posteriormente se interesa por los paisajes. En 1810 por problemas en los ojos abandona las miniaturas y se especializa en grandes retratos. Entre 1824 y 1830 expone en la academia de Pennsylvania y muere en 1831. 
James Roberts;;S.D.
James Sharples;1780-1811;(1751-1811) Pintor inglés del siglo XVIII reconocido por sus retratos miniaturas, pasteles, siluetas de políticos y por dedicarse a la enseñanza. Nace en Lancanshire, Inglaterra e inicia su carrera artística como pupilo del retratista George Romney. En la década de 1780 trabaja en Bath, Bristol y Liverpool, y en 1793 viaja a Estados Unidos con su esposa e hijos en donde se posiciona artísticamente en Pennsylvania y Nueva York, ciudad en la que muere en 1811. FUENTE: http://www.askart.com/artist_bio/James_Sr_Sharples/28502/James_Sr_Sharples.aspx
James Smith;;S.D.
Jane Palmer;1770-1800;Artista estadounidense activa en este país a finales del siglo XVIII. FUENTE: http://www.askart.com/artist/Jane_Palmer/10040857/Jane_Palmer.aspx
Javier Flores;;S.D.
Javier Peralta;;S.D.
Jean B. Sel;1800-1832;(¿?-1832) Pintor norteamericano que vivió y trabajó en Louisiana a principios del siglo XIX. Poco se conoce de su vida pero es reconocido por sus retratos, sus miniaturas y por dedicarse a la enseñanza. FUENTE: http://www.askart.com/artist/John_B_Sel/10048557/John_B_Sel.aspx
Jean Baptiste Debret ;1798-1839;(1768-1848) Pintor francés del siglo XIX conocido por sus litografías las cuales representan la gente de Brasil. Nace en Francia en donde estudia en la Academia de Bellas Artes de este país como pupilo de Jacques-Louis David. En 1798 expone en el Salón de Bellas Artes en París lo que se considera como su debut artístico. En 1816 viaja a Brasil como parte de un grupo de artistas bonapartistas con el fin de crear una escuela de artes en Rio de Janeiro. En este país es contratado para retratar a los miembros de la corte portuguesa pero se interesa más por representar escenas de la vida cotidiana brasilera, en particular por los esclavos e indígenas. A pesar de que retorna a Francia en 1831 continúa, sin mucho éxito, pintando escenas brasileras hasta 1839. Muere pobre en París en 1848. FUENTE: http://en.wikipedia.org/wiki/Jean-Baptiste_Debret
Jean de Morainville;;S.D.
Jean François de la Vallée;1794-1828;Inmigrante francés que llega a Virginia, Estados Unidos, con el fin de abrir una fábrica de algodón. Luego de fracasar en esta empresa se dedica a pintar miniaturas, activo y radicado en Philadelphia, Charleston, New Orleans y Boston entre 1794 y 1828. En Estados Unidos se conoce también como John Francis Vallee. FUENTE : http://americanart.si.edu/collections/search/artist/?id=5098
Jean Pierre Henri Elouis;1791-1840;(1755-1840) Pintor francés radicado en Estados Unidos y conocido por sus retratos y miniaturas a principios del siglo XIX. Nace en Caen, Francia, migra a Estados Unidos y en 1791 se establece en Maryland. Entre 1792 y 1794 se traslada y trabaja en Philadelphia. En 1840 vuelve a Francia en donde muere. FUENTE: http://www.askart.com/artist/Jean_Pierre_Henri_Elouis/28024/Jean_Pierre_Henri_Elouis.aspx
Jeremiah Meyer;1735-1789;(1735-1789) Pintor miniaturista inglés activo a finales del siglo XVIII. Nace y desarrolla su obra en Inglaterra. Entre sus cuadros más conocidos está el retrato miniatura del rey George III, usado como imagen para las monedas. FUENTE: http://www.npg.org.uk/collections/search/person/mp03067/jeremiah-meyer
Jeremiah Paul;1803-1820;(¿?- 1820) Pintor norteamericano activo a principios del siglo XIX. Nace en Pennsylvania y recibe su instrucción artística de Charles Wilson Peale, Rembrant Peale y Gilbert Stuart. Es conocido por sus pinturas de género, retratos y miniaturas, producidas entre 1803 y 1820. FUENTE: http://www.askart.com/artist/Jeremiah_Jr_Paul/29159/Jeremiah_Jr_Paul.aspx
Jeremiah Pearson Hardy;1820-1887;(1800-1887) Pintor norteamericano a principios del siglo XIX, reconocido por su pintura de género, sus retratos y obras de naturaleza muerta. Nace en New Hampshire, Estados Unidos, y trabaja en grabados en Maine. En 1821 viaja a Boston a estudiar pintura con David Brown y se entrena en Nueva York con Samuel Morse. En 1827 retorna a Maine en donde vive y trabaja el resto de su vida. FUENTE: http://www.askart.com/artist/Jeremiah_Pearson_Hardy/27013/Jeremiah_Pearson_Hardy.aspx
Jeremiah Theus;1740-1770;(1719-1774) Pintor suizo radicado en Estados Unidos en el siglo XVIII y conocido por su abundante producción de retratos. Nace en Chur, Suiza y en 1735 migra a Carolina del Sur, Estado Unidos, junto con otros protestantes. Aunque poco se conoce sobre su formación artística, existe una gran variedad de retratos de hombres, mujeres y niños que le son atribuidos. Inicia su carrera artística con la promoción de la apertura de una escuela de dibujo para hombres y mujeres. Así, durante tres décadas se especializa en los retratos, los cuales pinta más de 150, inicialmente en formato pequeño y, a partir de 1750 en un formato más amplio. Muere en Charleston en 1774.
Jerónimo Gómez;;S.D.
Jerónimo Jacinto de Espinoza;1612-1667;(1600-1667) Pintor español de principios del siglo XVII reconocido por un oscuro y tenebrismo estilo artístico y la prevalencia de temáticas religiosas. Nace en Alicante y empieza su formación artística de la mano de su padre, un humilde pintor vallisoletano. En 1612, año de la primera obra conocida de Espinoza, la familia se traslada a Valencia y en 1616 Espinoza se inscribe en el colegio de pintores de esta ciudad. En Valencia el autor pasará gran parte de su vida y realizará la mayoría de sus obras trabajando para numerosos conventos y órdenes religiosas. Su producción es extensa y poco cambiante, sus cuadros no se acercan a las nuevas tendencias del barroco sino que se ubican dentro de un estilo oscuro en los cuales la luz acentúa los contrastes. Asimismo, cercano al naturalismo realiza vivos y analíticos retratos. En 1667 muere en Valencia. FUENTE: https://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/espinosa-jeronimo-jacinto-de/
Jerónimo López;;S.D.
Jesuino do Monte Carmelo;;(1764-1819) Religioso, pintor, escultor, arquitecto, dorador, músico y poeta en Brasil en el siglo XVIII. Nace en Santos en donde desarrolla gran parte de su obra bajo las influencias del barroco europeo. Es hijo de una esclava, motivo que influencia sus obras, dado que parte de su trabajo está caracterizado por representaciones de criollos, mulatos y negros con igualdad en el Reino de los Cielos. Debido a su ascendencia africana le fue negado el ingreso a la Orden de los Carmelitas y se casó con Maria Francisca. Muere en Itu en 1819. FUENTE: http://pt.wikipedia.org/wiki/Jesu%C3%ADno_do_Monte_Carmelo
Joanes Franciscus;1860-1894;(1853-1894) Pintor holandés de mediados del siglo XIX, reconocido por sus representaciones de ciudades. Nace en Rotterdam, Holanda, y es hijo de un reconocido pintor paisajista, Jan Jacop Spohler, quien se instala en Ámsterdam durante la infancia de Joanes. Estudia con su padre hasta que, en 1866, éste último muere y continúa su formación junto a su hermano hasta 1874. Joanes, o Johannes, se especializa en pintar vistas de ciudades en escala pequeña, en particular de Ámsterdam y sus canales en paneles, asimismo, ocasionalmente también pinta aquellas vistas similares a grande escala en lienzo. A los 40 años muere. Actualmente sus obras se encuentran en el museo ‘Haastrecht, Museum Bisdom van Vliet’.  FUENTE: http://www.macconnal-mason.com/DesktopDefault.aspx?tabid=6&tabindex=5&objectid=438282
João Baptista ;1877-1926;(1865-1926) Pintor, ilustrador y paisajista brasilero de finales del siglo XIX. Nace en Itaguaí y crece en un orfanato llamado ‘Asilo de Meninos Desvalidos’ en donde estudia diseño con Antonio de Souza Lobo en 1877. En 1885 ingresa a la Academia Imperial de Bellas Artes de Rio de Janeiro en donde concluye su formación artística. En 1894 se gana un premio en la Exposición General de Bellas Artes y viaja a París a estudiar en la Academia Julian. En 1906 se instaura como profesor de la Escuela Nacional de Bellas Artes en Rio y entre 1915 y 1926 asume la dirección de la ENBDA. Muere en Rio de Janeiro en 1926. FUENTE: https://www.escritoriodearte.com/artista/joao-baptista-da-costa/
Joao Batista de Figuereido;;S.D.
João de Deus Sepúlveda;1760-primeros años s. XIX;Pintor del Estado de Pernambuco más importante de Brasil en el siglo XVIII. Nace en una familia de artistas en el siglo XVIII, poco se sabe de fecha de nacimiento pero se calcula que fue entre 1700 y 1730. Asimismo, los datos sobre su vida son inciertos, parece que además de pintor fue militar, sin embargo, su importancia artística es reconocida y sus obras estuvieron presentes en las instituciones más importantes de la época. Su primera obra constituye un serie de pinturas sobre la vida de Santa Teresa la cuales datan de 1760. En 1781 el gobernador de Pernambuco le encargó una pintura de la Batalle dos Guararapes la cual aumentó su fama. No se conoce de su muerte pero sí permaneció activo hasta los primeros años del siglo XIX. FUENTE: http://www.infoescola.com/biografias/joao-de-deus-sepulveda/
Joao Francisco Muzzi;1750-1800;Pintor, escenógrafo e ilustrador italiano radicado en Brasil y activo en la segunda mitad del siglo XVIII. Aunque es poco lo que se sabe de su biografía, nace en Italia y probablemente estudia en Rio de Janeiro con José de Oliveira Rosa. Inicia su carrera en la Casa de Ópera, fundada 1767, y luego trabaja en el Teatro de Manuel Luis. En 1789 realiza dos obras que representaban una el fuego que devastó el edificio de ‘Recolhimento do Parto’ y la otra la reconstrucción del mismo, ambos eventos vividos por el artista. FUENTE: http://www.brasilartesenciclopedias.com.br/nacional/muzzi_joao_francisco.htm
João Nepomuceno Correia e Castro ;1760-1795;(¿?-1795) Pintor y decorador brasilero activo durante la mitad del siglo XVIII. Nace en Mariana, Minas Gerais, y poco se conoce de su vida. Sus primeras obras registradas fueron realizadas para la Iglesia de Nuestra Señora del Rosario en Sao Paulo, actualmente desaparecidas. Sin embargo, se conservan algunas obras de 1777 y 1787 y dos altares laterales en la Iglesia de Nuestra Señora del Carmen en Ouro Preto de 1779. FUENTE: http://pt.wikipedia.org/wiki/Jo%C3%A3o_Nepomuceno_Correia_e_Castro
Joaquim Gonçalves da Rocha ;1800-1831;(1755-1831). Pintor y dorador brasilero activo en la segunda mitad del siglo XVIII. Nace en Sabará, Minas de Gerais, y los datos de su muerte se desconocen con precisión, sin embargo, su última obra es una imagen de Nuestra Señora del Carmen en 1831. FUENTE: http://enciclopedia.itaucultural.org.br/pessoa23610/joaquim-goncalves-da-rocha
Joaquim José da Natividade ;1785-1841;(17?-1841). Pintor y decorador brasilero cercano al estilo artístico Rococó. Nace en Sao Joao del Rei, Minas Gerais, en la segunda mitad del siglo XVIII. Entre 1785 y 1824 trabaja en la pintura del techo de la Capilla en Sao Tomé das Letras, periodo en el que vivió en Sao Joao del Rei. El último dato que se conoce es un pago que se le hizo en 1824. FUENTE: http://www.brasilartesenciclopedias.com.br/nacional/natividade_jose_joaquim.htm
Joaquín Carballo;;S.D.
Joaquín Castañón;;S.D.
Joaquín de Inza;1752-1811;(1736-1811) Pintor español activo a finales del siglo XVIII, reconocido por sus retratos de la alta sociedad madrileña. Nace en Soria, España. Inicia su formación en el taller de su padre y en 1752 entra a la Academia de San Fernando. Desde 1758 se le conocen retratos de la corte, la aristocracia y la burguesía madrileña, realizados en esta ciudad. Entre sus retratos más reconocidos se encuentra el retrato del literato Tomás de Iriarte en 1792. En 1811 muere en Madrid.  FUENTE: https://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/inza-joaquin/
Joaquín de Sosa;;
Joaqui?n Pinto;;
Joaquín Urrea;;
Joaquín Villegas;;
Johan Zoffany;;
Johann Eckstein;;
John Blake White;;
John Brewster, Jr.;;
John Canter;;
John Coles, Jr.;;
John Condé;;
John Durand;;"John Durand's birth and death dates are unknown, and only a few of his portraits are signed and dated. The sketchy chronology of his life is based on these few signed works, as well as on account book entries and information about his sitters. Scholars place his first activity in Virginia in 1765, but by 1766 Durand was in New York City. In that year his name appears in the account book of James Beekman of New York in an entry that records payment to ""Monsieur Duran"" for the portraits of Beekman's six children. Nothing is known of Durand's background or artistic training, but this reference to his name in French, the rococo colors in his portraits, and his ambition to make history paintings have led some scholars to believe he was born or trained in France. Nonetheless, his two-dimensional, linear technique, use of bright colors, and attention to detail are clearly part of the American tradition. At about the same time that he painted the Beekmans, the artist also received portrait commissions from the prominent Ray family of New York, and, in 1768, from Garret Rapalje, a wealthy New York merchant; Durand's portrait The Rapalje Children is certainly his most ambitious work. Also about 1768, Durand traveled to New Haven, where he painted Sarah Whitehead Hubbard. It is difficult to establish Durand's movements after this time, when he departed from New York as one of the city's most successful painters. A signed and dated Virginia portrait indicates his return to that state in 1769. Of Durand's work in Virginia the artist's nephew Robert Sully recalled, ""He painted an immense number of portraits in Virginia; his works are hard and dry, but appear to have been strong likenesses, with less vulgarity of style than artists of his calibre generally possess."" Durand returned to a ""hard and dry"" style in his later years. Like most painters of his time, he was willing to ""paint, gild, and varnish wheel carriages; and put coats of arms, or ciphers upon them,"" as he advertised in The Virginia Gazette of 21 June 1770. Durand also aspired to be a history painter, but as no known paintings of this genre exist by his hand, perhaps, like other artists of the time, he was disappointed by a lack of American patronage for this type of painting. Durand's return to Connecticut is confirmed by a portrait of Benjamin Douglas, signed and dated 1772. By 1775, however, he was again seeking commissions in Virginia, evidenced by his signed and dated portraits of Mr. and Mrs. Gray Briggs of Dinwiddie County, Virginia. The artist may have remained there, as the only further record of his name in any state appears on a 1782 tax list for Dinwiddie County, Virginia."
John Faber;;
John Francis Rigaud;;
